3G Radar FICFI de Acoes 60,3G Radar FICFIA 1080,4UM Valor Institucional FI em Acoes,Absoluto Partners FICFI de Acoes I,Alaska Black FIC FIA Bdr Nivel I,Alaska Institucional FIA,Apex Acoes 30 FICFI de Acoes,ARX Long Term FIC FIA,Aster FICFI Acoes,Atmos Acoes FICFI em Acoes,Bahia AM Valuation FICFI Acoes,Bnpp Action Fc FIA,Bogari Value Fc FIA,Brasil Capital FICFI em Acoes,BTG Pactual Absoluto FIC FIA,Charles River Fundo de Investimento de Acoes,Clube do Valor Master FI em Acoes,Constellation F FICFI de Acoes,Constellation Institucional Fc FIA,Dynamo Cougar FIC FI Acoes,Encore Acoes Fundo de Investimento em Acoes,Equitas Selection Inst Fc de Acoes,Fama Fc FIA,Forpus Acoes Fc FIA,Franklin Val e Liq Fvl Fc de FIA,Fundamenta Fundo de Investimento de Acoes,Geracao Futuro L Par FIC FIA,GTI Dimona Brasil Fundo de Investimento em Acoes,Guepardo FICFI em Acoes,Hix Capital Fc FIA,Ibiuna Equities FICFI em Acoes,JGP Long Only FICFI em Acoes,Kapitalo Tarkus FICFI em Acoes,Kiron Institucional FI em Acoes,Miles Virtus S FICFI em Acoes,Moat Capital Fc em Acoes,Neo Navitas Fc em Acoes,Nord WM At 30 FICFI Acoes,Oceana Valor,Organon FICFI Acoes,Real Investor FICFI em Acoes - BDR Nivel I,Ryo Selection FICFI Acoes,Ryo Selection FICFI Acoes Access,Ryo Selection Institucional FICFI Acoes,Sharp Ibovespa Ativo Fundo de Investimento Acoes,Skopos Blue Birds Top Pix FI de Acoes,Squadra LB NG FICFI em Acoes,Squadra Long-Only FICFI de Acoes,Studio Institucional Fc de FIA,Tarpon GT FICFI em Acoes,Tempo Capital Manaca Fc FIA,Tork Fc de FIA,Trigono Verbier FICFI Acoes,Velt Fc,Verde AM Acoes FICFI em Acoes,Vinci Mosaico Fundo de Investimento de Acoes,Vinci Mosaico Institucional FI Acoes,Vokin Gbv Aconcagua Fc de FIA,XP Investor Fundo de Investimento de Acoes
LP68232126,LP68232125,LP68638647,LP68545800,LP68086772,LP68410847,LP68170647,LP65132848,LP68687735,LP68032325,LP68060460,LP68134685,LP65125690,LP65133069,LP65085670,LP68297462,LP68614191,LP68591529,LP68191012,LP65039967,LP68642392,LP68165692,LP65040479,LP68310021,LP65040367,LP68058513,LP65132864,LP65112089,LP65048728,LP68170684,LP68127729,LP68039659,LP68451031,LP68475396,LP68460430,LP68296548,LP68155612,LP68684168,LP68310638,LP68206997,LP68151304,LP68656713,LP68678079,LP68689973,LP65111015,LP68191071,LP68720782,LP65115237,LP68036133,LP68336683,LP65040589,LP68519044,LP68505458,LP65086071,LP68573247,LP68655047,LP68453155,LP68155669,LP65065802
15/1/2019,"2,9319379","3,1977034",NULL,NULL,"3,8188751","2,1214414","2,1010361","7,9225794",NULL,"557,8087582","2,499751","287,2211382","2747,0623377","11,4293143","4,7795131","4,2245806",NULL,NULL,"2,0557727","882,7617688",NULL,"2,4904015","7468,6900651","3,3815659","3577,9245006","1,9537203","1,5381668","3,8603097","12,7587065","13,4002702","261,557998","291,9432284","1,5687664","1,1399096","1,3047053","2,8696124","2,095083",NULL,"4,056192","5,0275783","10,1056566",NULL,NULL,NULL,"2,7519698","109,1709559",NULL,"615,9576543","3,0303562","5,9598651","326,5906902","1,11712","5,1278248","4,7397592",NULL,NULL,"5,3203629","96,8800036","8,7460974"
16/1/2019,"2,946085","3,2140719",NULL,NULL,"3,8359666","2,1351776","2,1095163","7,9733827",NULL,"558,4878844","2,5090901","288,5512533","2760,4673611","11,5025165","4,8000678","4,2482246",NULL,NULL,"2,0676165","890,3146917",NULL,"2,4958233","7479,2947422","3,3731943","3595,9335656","1,9452716","1,548154","3,8478551","13,1236324","13,345175","263,1839163","292,7176621","1,5756269","1,1508592","1,3045642","2,8689101","2,1167381",NULL,"4,0629104","5,0345299","10,0871711",NULL,NULL,NULL,"2,7704264","109,4149275",NULL,"618,8736578","3,0347782","6,0384367","327,7858793","1,1155234","5,0516032","4,7722583",NULL,NULL,"5,3238535","97,0786924","8,7317068"
17/1/2019,"2,9612194","3,2315804",NULL,NULL,"3,8254592","2,1439785","2,1281083","8,0043282",NULL,"564,2654788","2,5417504","292,4803341","2785,3672004","11,6171301","4,8412597","4,2630203",NULL,NULL,"2,0892625","899,7488492",NULL,"2,5230163","7584,4434444","3,4394013","3621,2417381","1,9753081","1,5567697","3,872873","13,1245644","13,4134123","265,0125967","296,1362051","1,5926693","1,1698031","1,318096","2,8890426","2,1294328",NULL,"4,1076422","5,0120323","10,174666",NULL,NULL,NULL,"2,7895068","110,0041946",NULL,"627,1510085","3,0701523","6,1059199","329,2829725","1,1258802","5,0399289","4,8128221",NULL,NULL,"5,3881814","97,8124741","8,8302985"
18/1/2019,"3,0076633","3,2852289",NULL,NULL,"3,8072073","2,1482688","2,1300801","8,0259603",NULL,"567,9103258","2,5548348","292,8906827","2792,5046125","11,631239","4,8776705","4,2726566",NULL,NULL,"2,0965783","907,4553183",NULL,"2,5279505","7608,8143931","3,4122327","3626,4807735","1,9831058","1,5590584","3,8600752","12,977452","13,4004234","266,2999253","297,2920063","1,601591","1,1781813","1,3191572","2,8880126","2,138583",NULL,"4,1305388","5,0224305","10,242802",NULL,NULL,NULL,"2,8074008","110,3652654",NULL,"632,2878722","3,0824219","6,0637307","329,8052081","1,129753","5,0377287","4,8272991",NULL,NULL,"5,3739344","98,254075","8,8350858"
21/1/2019,"3,0034321","3,2803867",NULL,NULL,"3,8401344","2,1535681","2,1304253","8,0248351",NULL,"569,6704111","2,5468197","292,6849879","2801,7003372","11,7480377","4,8709791","4,2881477",NULL,NULL,"2,098645","909,3930891",NULL,"2,5345985","7629,2901492","3,3960872","3621,431271","1,9827268","1,5632887","3,8916334","13,1004831","13,4485886","266,2910879","297,8411253","1,6042959","1,1779787","1,3191423","2,8944405","2,1469521",NULL,"4,1289848","5,0814942","10,2786561",NULL,NULL,NULL,"2,8105258","110,6379526",NULL,"635,1164095","3,0937125","6,0486469","329,6827916","1,1324248","5,0385623","4,825285",NULL,NULL,"5,3868382","98,1024452","8,8171336"
22/1/2019,"3,0050119","3,2822521",NULL,NULL,"3,8232539","2,1315003","2,1117001","7,9447652",NULL,"566,930199","2,5320988","290,7933821","2786,9157421","11,7155355","4,8159371","4,2702204",NULL,NULL,"2,0801497","898,5085323",NULL,"2,5047383","7578,7303441","3,3115471","3587,5655576","1,9832099","1,5570282","3,8911616","13,1996966","13,3948162","263,8420726","294,7230626","1,580683","1,1656934","1,3100917","2,8750239","2,1308508",NULL,"4,1034215","5,0195091","10,2194929",NULL,NULL,NULL,"2,785046","110,9005734",NULL,"628,0429425","3,0715782","5,9263883","325,9545863","1,1257254","5,0267143","4,7924989",NULL,NULL,"5,357262","97,9309332","8,7494052"
23/1/2019,"3,0380316","3,3204227",NULL,NULL,"3,8749625","2,1711746","2,1433429","8,0504934",NULL,"574,0315719","2,5689604","294,6228869","2828,318548","11,8583247","4,8750343","4,2755876",NULL,NULL,"2,1171028","913,6239922",NULL,"2,5501568","7667,6744736","3,3585126","3637,7795995","1,9971499","1,5789099","3,9410655","13,2954738","13,5666068","268,7150766","298,7463658","1,6058168","1,1856319","1,3300283","2,9297992","2,1587496",NULL,"4,155885","5,0826545","10,3291093",NULL,NULL,NULL,"2,8283034","111,2621421",NULL,"637,98035","3,1141638","6,0154871","330,1459552","1,142532","5,0580634","4,8415407",NULL,NULL,"5,434029","98,5179969","8,8628981"
24/1/2019,"3,0864972","3,3764357",NULL,NULL,"3,9526334","2,2063598","2,1706147","8,1450367",NULL,"579,6015807","2,595999","298,1346578","2858,2693902","11,9616128","4,9170628","4,2966024",NULL,NULL,"2,1437705","929,9037971",NULL,"2,5748276","7782,3563773","3,4082466","3679,1829401","2,035231","1,5862317","4,0166044","13,5180756","13,7336442","272,5877569","301,7505362","1,6231919","1,1943753","1,3463272","2,984866","2,1885263",NULL,"4,1897359","5,1255898","10,4117874",NULL,NULL,NULL,"2,8611467","112,5243144",NULL,"644,7107371","3,1428962","6,04829","333,6800678","1,1563626","5,138834","4,8951799",NULL,NULL,"5,5202661","99,5770725","8,9441074"
25/1/2019,"3,0865028","3,3764876",NULL,NULL,"3,9528568","2,2062326","2,1704444","8,1443668",NULL,"579,6137656","2,5957489","298,0499159","2858,1157877","11,9664956","4,9160686","4,2965899",NULL,NULL,"2,1446698","930,8242084",NULL,"2,5745159","7781,7465237","3,4125467","3678,9242385","2,0350683","1,5862095","4,0163918","13,5214115","13,7187198","272,5711771","301,984521","1,6230989","1,1943061","1,3461691","2,9846426","2,1884287",NULL,"4,1894652","5,1254272","10,4169981",NULL,NULL,NULL,"2,8608081","112,5215074",NULL,"644,6389421","3,1425698","6,0478343","333,6587582","1,1561695","5,138418","4,897529",NULL,NULL,"5,5198968","99,5728904","8,9436789"
28/1/2019,"3,0821961","3,3715601",NULL,NULL,"3,9153783","2,1665447","2,1630446","8,0131785",NULL,"577,9939288","2,5010361","298,00146","2852,0776477","11,9787972","4,9178446","4,3177919",NULL,NULL,"2,1549069","924,4492503",NULL,"2,5657889","7772,1094931","3,4010389","3647,7097492","2,023877","1,5140538","4,0128745","13,3888538","13,6204861","273,1400075","291,3506334","1,5905202","1,1840228","1,3297103","2,9576718","2,1827827",NULL,"4,1123184","5,1496816","10,3675396",NULL,NULL,NULL,"2,8008435","111,6480946",NULL,"633,3954117","3,1065353","6,0251222","322,0458282","1,1481562","5,1024329","4,9219471",NULL,NULL,"5,5057049","100,0440249","8,7769412"
